,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,stab_4,stab_4,stab_5,stab_5,stab_6,stab_6,stab_7,stab_7,stab_8,stab_8,stab_9,stab_9,Data,Data,Data,num
135,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
136,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1
137,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,2
138,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
139,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1
140,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1
141,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7
142,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
143,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
144,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1
145,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4
146,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,3
147,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,9
148,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1
149,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1
150,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,5
151,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
152,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30
153,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,25
154,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
155,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1
156,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,11
157,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
158,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
159,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
160,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,7
161,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
162,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
163,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
164,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5
165,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,2
166,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
167,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2
168,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
169,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,2
170,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1
171,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,3
172,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1
173,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
174,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,1
175,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1
176,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1
177,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
178,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
179,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
180,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4
181,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1
182,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2
183,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
184,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
185,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3
186,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4
187,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2
188,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3
189,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7
190,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1
191,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
192,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
193,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
194,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
195,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
196,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
197,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
198,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3
199,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,3
200,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1
201,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1
202,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1
203,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,4
204,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,7
205,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,3
206,1,0,0,0,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1
207,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
208,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1
209,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1
210,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
211,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,7
212,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2
213,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
214,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
215,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5
216,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2
217,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
218,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
219,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2
220,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1
221,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3
222,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3
223,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
224,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2
225,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2
226,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
227,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1
228,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3
229,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
230,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,5
231,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,2
232,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1
233,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,6
234,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,2
235,1,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1
236,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
237,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
238,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
239,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5
240,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4
241,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6
242,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
243,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4
244,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3
245,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1
246,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
247,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
248,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3
249,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,2
250,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,2
251,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,5
252,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,6
253,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,7
254,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2
255,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1
256,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5
257,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3
258,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2
259,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,3
260,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
261,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
262,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1
263,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3
264,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
265,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3
266,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,5
267,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2
268,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,6
269,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,5
270,1,0,1,0,1,0,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,1
271,1,0,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,0,0,1
272,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4
273,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
274,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,5
275,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,2
276,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,3
277,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
278,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,3
279,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,8
280,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,3
281,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1
282,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,7
283,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,2
284,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,2
285,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,4
286,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1
287,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1
288,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,219
289,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,3
290,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,6
291,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,2
292,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,4
293,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,9
294,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,8
295,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,3
