,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,stab_4,stab_4,stab_5,stab_5,stab_6,stab_6,stab_7,stab_7,stab_8,stab_8,stab_9,stab_9,Data,Data,Data,num
102,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,53
103,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1
104,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,4
105,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,300
106,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,5
107,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,2
108,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,121
109,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,2
110,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,2
111,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3
112,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5
113,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1
114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,291
115,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,3
116,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,15
117,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1
118,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,2
119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,129
120,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,3
121,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,42
122,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
123,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,4
124,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1
125,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,233
126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,193
127,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4
128,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,1
129,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,16
130,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1
131,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,10
132,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,3
133,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1
134,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2
135,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,3
136,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,6
137,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1,1
138,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1
139,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,5
140,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1
141,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,8
142,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,6
143,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,13
144,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1
145,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,4
146,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,10
147,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,128
148,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,5
149,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
150,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1
151,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,126
152,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,56
153,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1
154,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1
155,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,45
156,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,5
157,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,140
158,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,2
159,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,189
