,stab_1,stab_1,stab_1,stab_1,stab_2,stab_2,stab_2,stab_2,Data,Data,Data,Data,Data,num
409,0,1,1,0,1,0,0,0,0,0,0,0,0,1
410,0,1,1,1,0,0,1,0,0,0,1,1,0,1
411,1,1,1,1,1,1,1,1,0,1,0,1,1,1
412,0,0,0,1,0,0,0,1,0,1,0,0,0,3
413,0,0,0,0,1,0,0,1,0,0,0,1,0,1
414,0,1,0,0,0,0,0,1,0,0,1,0,1,1
415,0,1,1,1,0,1,1,1,0,0,1,1,0,1
416,0,0,1,1,0,0,1,0,0,1,0,0,0,1
417,0,0,1,1,0,1,0,1,0,0,0,0,0,2
418,1,0,1,1,0,0,0,0,1,0,0,0,0,1
419,1,0,0,0,1,0,0,0,0,0,1,0,0,1
420,0,1,0,0,0,0,0,0,1,0,1,0,0,2
421,0,0,0,0,0,1,0,1,0,1,0,0,0,1
422,1,1,1,0,0,1,0,0,0,1,0,1,0,1
423,1,1,0,1,1,1,0,0,0,0,0,0,1,1
424,1,1,1,1,1,1,1,0,1,0,1,0,1,1
425,0,0,0,0,0,0,1,0,0,1,0,0,0,3
426,0,0,0,0,1,1,0,0,0,0,0,0,1,2
427,0,1,0,1,0,0,0,0,0,0,0,0,0,7
428,1,0,1,1,0,0,1,1,0,1,0,1,0,1
429,0,0,1,1,0,0,1,0,0,0,1,0,1,1
430,0,0,1,1,1,0,0,0,0,0,0,1,0,3
431,0,1,0,1,0,0,1,0,0,0,0,0,0,2
432,1,1,1,1,1,0,1,1,0,1,0,1,1,1
433,0,1,0,1,1,0,1,1,0,0,1,1,1,1
434,1,0,1,1,0,0,1,1,1,1,0,1,0,1
435,0,0,1,0,0,1,1,0,0,0,1,1,0,1
436,1,0,1,1,0,0,0,1,1,0,0,1,0,1
437,0,1,1,1,1,0,0,0,0,0,0,1,0,1
438,0,0,1,0,0,0,1,0,0,0,1,1,0,2
439,0,0,0,0,0,0,0,1,1,0,0,1,0,1
440,1,1,1,0,0,1,1,0,0,0,1,0,0,4
441,1,1,1,1,1,1,1,1,0,1,1,1,0,1
442,1,1,1,0,0,1,1,0,0,1,1,0,0,3
443,1,1,0,0,0,0,0,1,1,1,0,0,0,2
444,1,1,0,0,1,1,0,0,0,0,0,0,1,2
445,1,1,1,0,1,1,1,0,0,0,1,0,0,3
446,0,0,0,0,1,1,0,0,0,0,1,0,0,1
447,1,1,1,0,0,0,0,0,0,1,1,0,0,4
448,0,0,0,1,0,0,1,1,0,1,0,0,0,1
449,0,0,1,1,0,1,0,1,0,0,0,1,0,2
450,1,1,1,1,0,1,1,0,1,0,1,0,0,1
451,1,1,0,0,0,1,1,0,1,1,0,0,1,1
452,1,1,0,0,0,1,0,0,0,1,1,0,0,3
453,0,0,0,0,0,0,0,0,1,0,1,0,0,1
454,0,0,1,1,1,0,1,1,0,1,0,1,0,2
455,0,0,1,1,0,0,0,1,0,0,1,0,1,1
456,1,0,0,0,1,0,0,0,1,0,1,0,0,3
457,1,1,1,1,1,0,0,0,0,1,0,1,0,2
458,0,0,0,0,0,0,1,0,0,0,0,0,1,6
