,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,stab_4,stab_4,stab_5,stab_5,stab_6,stab_6,stab_7,stab_7,Data,Data,Data,num
166,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,2
167,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2
168,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,3
169,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1
170,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,7
171,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,6
172,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,3
173,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1
174,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,112
175,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,1,1,7
176,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1
177,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,7
178,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,3
179,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,4
180,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,1,2
181,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,6
182,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2
183,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1
184,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1
185,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1
186,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1
187,1,1,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,9
188,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1
189,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,7
190,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,5
191,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,1,9
192,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,4
193,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,9
194,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,9
195,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1
196,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,6
197,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,4
198,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1
199,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1
200,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1
201,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,0,1
202,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
203,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,2
204,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,3
205,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1
206,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1
207,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,3
208,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6
209,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,8
210,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,1,6
211,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1
212,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,2
213,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,2
214,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,2
215,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,2
216,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,7
217,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,4
218,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4
219,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1
220,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,8
221,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,1,0,14
222,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1
223,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,2
224,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
225,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,6
226,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,60
227,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,5
228,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,2
229,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,6
230,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1
231,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,1,1
232,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1
233,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,2
234,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1
235,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,4
236,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,3
237,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,8
238,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2
239,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,4
240,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1
241,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1
242,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,2
243,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,5
244,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,11
245,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,8
246,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,7
247,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,5
248,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,5
249,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1
250,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,3
251,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1
252,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,4
253,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,4
254,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,5
255,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,4
256,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1
257,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,6
258,0,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,0,1
259,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,4
260,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,1,1,5
261,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,56
262,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,6
263,1,0,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1
