,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,stab_4,stab_4,stab_5,stab_5,stab_6,stab_6,stab_7,stab_7,stab_8,stab_8,Data,Data,Data,num
129,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,8
130,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,3
131,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1
132,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,3
133,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
134,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
135,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1,1,1
136,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,6
137,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,3
138,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,9
139,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,8
140,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1
141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,11
142,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,1
143,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,1
144,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,7
145,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,3
146,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,7
147,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,4
148,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,6
149,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,2
150,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,7
151,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1
152,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1
153,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,4
154,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,3
155,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,6
156,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,3
157,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9
158,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,8
159,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,5
160,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,5
161,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,5
162,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,8
163,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,9
164,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
165,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,2
166,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,8
167,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,9
168,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1
169,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,12
170,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,8
171,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,7
172,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,3
173,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1
