,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,stab_4,stab_4,Data,Data,Data,num
360,0,0,1,0,1,1,1,0,0,0,0,2
361,0,1,0,1,0,1,1,0,1,0,0,1
362,0,0,0,1,0,1,1,0,1,1,0,1
363,0,1,1,1,1,1,0,0,1,1,0,3
364,1,1,1,1,1,1,1,1,0,0,1,2
365,1,0,1,1,1,1,1,0,0,1,0,2
366,1,0,0,1,0,0,0,0,0,0,0,2
367,0,1,0,1,0,0,1,0,0,0,1,3
368,0,0,0,1,0,1,1,0,0,0,0,1
369,1,1,1,0,1,0,0,0,1,1,0,1
370,1,0,1,0,1,1,0,1,1,0,1,1
371,1,0,0,1,0,0,0,0,1,0,0,4
372,0,0,1,1,0,1,0,0,1,1,1,1
373,0,0,0,1,0,0,0,1,1,0,0,1
374,1,1,0,0,0,0,0,1,0,1,0,6
375,0,0,0,1,0,0,0,0,1,0,1,2
376,1,0,0,1,1,1,1,1,0,1,1,1
377,1,0,0,0,0,0,0,0,0,0,1,2
378,0,1,1,0,0,0,0,0,0,0,1,4
379,0,0,1,0,1,1,0,0,1,0,0,1
380,0,0,1,1,0,1,0,0,0,0,1,1
381,1,1,1,0,1,1,1,0,1,0,1,3
382,1,1,0,1,1,1,0,0,0,1,0,5
383,1,0,1,0,1,1,1,0,1,0,1,1
384,1,0,1,0,0,1,0,0,1,0,1,2
385,0,1,0,0,1,1,0,0,0,0,0,1
386,0,0,0,0,0,1,0,0,1,0,0,6
387,0,1,1,0,0,1,0,0,0,0,0,1
388,0,1,1,1,1,0,0,0,0,1,0,1
389,0,1,0,1,1,0,0,0,0,0,0,2
390,1,1,1,0,0,0,0,0,0,1,1,2
391,1,1,1,0,0,0,0,1,1,0,1,1
392,1,1,1,0,0,1,0,0,0,1,0,1
393,0,1,0,1,0,1,1,1,1,1,0,3
394,1,1,1,1,0,1,0,1,1,0,1,2
395,1,0,1,0,0,1,1,1,0,1,1,1
396,0,1,0,1,1,1,1,1,0,1,1,3
397,1,0,1,1,1,0,1,1,0,1,0,1
398,0,1,0,0,0,0,0,0,1,0,0,3
399,1,0,1,1,1,0,0,1,0,1,1,1
400,0,1,1,1,1,1,1,0,1,1,0,1
401,0,0,1,0,0,0,0,0,0,0,1,1
402,0,1,0,1,0,1,1,0,1,1,0,3
403,0,1,0,1,1,1,0,1,0,1,1,6
404,1,1,1,0,1,1,1,0,1,0,0,1
405,1,0,1,1,1,1,0,0,1,0,0,2
