,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,Data,Data,Data,num
180,0,0,1,1,0,0,0,1,0,0,0,0,1,1
181,0,0,1,1,0,0,0,1,1,0,1,0,0,1
182,0,0,1,0,0,0,0,1,0,0,0,1,1,15
183,1,1,0,0,1,0,0,1,0,0,0,0,1,1
184,0,0,1,0,0,0,0,1,1,0,1,0,0,36
185,0,0,1,0,0,0,0,1,0,1,0,0,0,39
186,0,0,1,0,0,0,0,1,1,1,0,0,0,35
187,0,0,0,0,1,0,0,0,0,0,1,0,0,90
188,1,0,0,1,1,0,0,0,0,0,0,0,0,45
189,0,0,1,0,0,0,0,0,0,1,0,1,0,20
190,0,0,0,0,0,0,0,0,1,0,1,1,0,17
191,0,0,0,0,0,1,1,0,0,0,1,0,0,8
192,1,1,1,0,0,0,0,0,1,0,0,0,0,12
193,0,0,0,0,0,0,0,0,0,0,1,1,0,141
194,0,1,0,0,0,0,1,0,0,0,0,1,0,5
195,0,0,1,0,1,1,0,0,0,0,0,1,0,6
196,0,1,1,0,1,0,0,1,0,0,1,0,0,2
197,1,0,0,0,0,0,0,1,1,1,0,1,0,2
198,1,0,1,0,0,0,0,1,0,0,1,1,0,16
199,0,0,0,1,0,0,1,0,0,0,0,0,0,21
200,0,0,0,1,1,0,0,1,0,0,0,0,0,38
201,0,1,0,1,0,0,0,1,0,1,0,0,0,5
202,0,0,1,0,1,0,0,1,0,0,1,1,0,26
203,0,0,0,1,0,0,0,0,1,0,0,0,0,48
204,0,0,0,0,0,0,1,0,0,1,1,0,1,1
205,1,0,1,1,0,0,0,0,0,0,0,0,0,17
206,1,0,0,0,1,0,0,0,1,0,0,0,0,7
207,0,0,1,1,0,0,0,0,0,0,0,0,0,116
208,0,0,0,0,1,0,0,0,0,1,0,0,0,47
209,1,1,1,0,0,0,0,0,0,0,0,1,0,11
210,1,0,0,1,0,0,0,0,0,0,1,0,0,14
211,1,1,0,1,0,0,0,0,0,0,0,0,0,56
212,0,0,0,0,1,0,0,1,0,1,0,0,0,16
213,1,0,1,0,0,0,0,0,0,0,1,1,0,27
214,0,1,0,1,0,0,0,1,0,0,1,0,0,3
215,0,0,1,0,1,0,0,0,0,1,1,0,0,7
216,0,0,1,0,0,0,0,0,0,0,1,0,1,29
217,0,0,0,1,0,0,1,0,0,0,1,0,0,6
218,1,0,1,0,0,0,0,0,1,0,1,0,0,24
219,0,0,0,1,0,0,0,1,0,1,0,0,0,14
220,0,0,0,0,0,0,1,0,1,0,0,0,0,87
221,0,0,1,0,0,1,0,1,0,0,1,0,0,9
222,0,0,0,1,1,0,0,0,0,0,0,1,0,68
223,0,0,0,1,0,0,0,0,0,1,0,0,0,29
224,0,0,0,0,0,0,0,0,1,0,0,0,1,31
225,1,0,0,1,1,0,0,0,0,0,1,0,0,15
226,0,0,0,0,0,1,0,0,1,0,0,0,0,31
227,0,0,0,0,0,0,0,0,1,1,1,0,1,5
228,0,0,0,1,1,0,0,1,1,1,0,0,0,12
229,1,0,0,0,0,1,0,0,0,0,0,0,0,25
230,0,0,1,0,0,0,0,0,0,1,1,1,0,11
231,0,0,1,0,1,0,0,1,0,1,0,1,0,10
232,0,0,0,0,0,1,0,1,1,1,0,0,0,19
233,0,1,0,0,0,0,0,0,1,1,0,0,1,1
234,1,1,1,1,0,0,0,0,0,0,0,0,0,43
235,0,0,1,1,1,0,0,1,1,1,0,0,0,7
236,0,1,1,0,0,0,0,1,0,0,0,1,0,66
237,0,0,0,0,0,0,0,1,0,0,0,1,1,21
238,0,0,0,0,0,1,1,0,1,0,0,0,0,4
239,0,0,1,0,1,0,1,1,0,1,0,1,0,3
240,0,0,1,0,1,0,0,1,0,1,0,0,0,5
241,1,0,1,0,0,0,0,1,0,0,1,0,0,33
242,1,0,0,1,1,0,1,0,1,0,0,1,0,2
243,1,1,1,0,0,0,0,0,0,0,0,0,0,83
244,0,1,1,1,1,0,0,0,1,0,0,0,0,3
245,0,1,0,1,0,0,1,0,0,0,0,0,0,2
246,1,0,1,0,1,0,0,1,1,0,0,0,0,1
247,0,0,0,0,0,1,0,1,0,0,0,0,0,65
248,0,0,0,1,1,0,1,0,0,0,0,0,0,10
249,1,0,1,0,0,0,0,1,1,1,0,1,0,7
250,1,1,0,0,1,0,0,0,0,0,0,1,0,7
251,1,0,0,0,0,0,1,0,1,0,0,0,0,22
252,0,0,0,1,0,0,0,1,0,0,0,0,0,53
253,1,1,0,1,0,0,0,0,1,0,0,0,0,8
254,0,0,0,1,0,1,0,0,0,0,0,0,0,8
255,0,0,1,1,1,0,0,0,0,1,1,0,0,4
256,0,0,0,1,1,0,0,0,1,0,0,0,0,24
257,0,0,1,1,1,0,0,0,1,1,0,0,0,33
258,0,0,1,0,1,0,0,1,0,0,0,0,0,41
259,1,0,0,0,0,0,1,0,0,0,0,0,0,41
260,0,0,0,1,1,0,0,1,0,0,1,0,0,16
261,1,1,0,1,1,0,0,0,0,0,1,0,0,4
262,0,1,1,0,0,0,0,0,0,0,0,1,0,31
263,0,0,1,1,0,0,1,0,0,1,0,1,0,1
264,0,1,0,0,0,0,1,0,1,0,0,0,0,10
265,0,0,1,1,0,0,0,0,0,0,1,1,0,10
266,0,0,0,0,0,0,1,0,0,0,0,1,0,45
267,1,1,0,0,0,1,0,0,0,0,1,0,0,3
268,0,1,0,1,0,0,0,0,0,0,0,0,0,150
269,1,0,0,0,0,0,0,1,1,1,0,0,0,20
270,1,1,0,0,0,0,0,0,1,1,0,0,0,17
271,0,1,0,0,0,0,1,0,0,0,1,0,0,8
272,0,0,0,1,1,1,1,0,0,0,0,0,0,2
273,0,1,0,0,0,0,0,0,1,1,0,0,0,93
274,0,1,0,1,0,0,0,0,1,1,1,0,0,10
275,1,1,0,0,0,0,0,1,0,0,0,0,0,29
276,0,0,0,0,0,0,0,1,1,0,0,0,1,32
277,1,1,0,0,1,0,0,0,0,0,0,0,0,18
278,1,1,0,0,0,0,0,0,1,1,0,0,1,3
279,1,0,1,1,1,0,0,0,0,0,0,1,0,3
280,0,0,0,0,0,0,0,1,1,0,1,1,0,18
281,0,0,1,1,0,0,0,1,0,1,0,1,0,3
282,1,0,0,1,0,0,0,1,0,0,0,1,0,3
283,0,1,0,1,1,0,0,1,1,0,0,1,0,1
284,1,0,0,0,0,0,0,0,0,0,1,0,1,3
285,0,0,0,1,0,0,0,0,0,0,0,1,0,47
286,0,0,0,0,0,0,0,1,1,0,0,1,0,23
