,stab_1,stab_1,stab_1,stab_1,stab_2,stab_2,stab_2,stab_2,Data,Data,Data,Data,Data,num
144,0,0,1,0,0,1,1,0,1,1,1,1,1,5
145,1,1,0,0,1,0,0,0,0,0,1,1,1,19
146,0,0,0,0,0,0,0,0,1,1,1,0,0,11
147,0,1,0,0,1,0,0,0,1,1,1,1,1,9
148,0,0,0,0,0,1,0,0,1,0,1,1,1,15
149,1,1,1,0,0,1,0,0,1,0,0,1,1,5
150,1,0,0,1,0,0,0,0,0,1,1,1,1,12
151,1,1,1,0,0,1,0,0,1,0,1,1,1,8
152,0,0,1,1,1,0,1,0,1,1,1,0,0,1
153,1,0,1,0,1,0,1,0,1,0,0,1,1,7
154,0,1,1,0,0,0,0,0,1,0,1,1,1,2
155,0,0,1,0,0,1,1,0,0,1,0,1,1,2
156,0,1,0,1,0,0,0,0,1,1,1,1,1,16
157,0,0,1,1,0,0,0,1,1,1,1,0,0,23
158,1,0,0,0,1,0,0,0,1,0,1,1,1,28
159,1,1,0,1,0,1,1,1,1,0,1,0,1,1
160,1,0,0,0,0,1,0,0,1,1,1,1,1,16
161,0,0,1,1,0,0,0,0,0,1,1,0,0,1
162,1,1,1,0,0,0,0,0,0,1,0,1,1,3
163,0,1,0,1,0,0,0,1,1,1,1,1,0,5
164,0,0,1,1,0,0,1,0,1,1,1,0,0,3
165,0,0,0,1,1,0,0,0,1,1,1,1,1,15
166,1,1,0,1,0,0,0,1,1,1,1,1,1,1
167,0,0,0,0,0,0,1,0,1,1,1,0,0,1
168,1,0,0,1,0,0,0,0,0,1,1,1,0,6
169,0,1,0,0,0,0,1,0,1,1,0,0,1,1
170,0,1,0,0,0,0,0,0,1,1,1,0,1,7
171,1,0,0,0,1,0,0,0,1,1,0,1,1,4
172,1,0,0,0,1,0,0,0,0,1,1,1,0,10
173,1,1,0,1,1,1,0,0,1,0,1,1,0,6
174,0,1,1,0,0,1,1,0,0,1,0,1,1,11
175,0,0,0,1,0,0,1,0,1,1,1,1,1,5
176,0,1,0,0,0,1,0,0,1,0,0,1,1,5
177,0,1,0,0,1,1,0,0,1,0,1,1,1,7
178,0,1,0,0,0,0,0,1,1,1,1,1,1,11
179,0,0,1,0,0,0,0,1,1,1,1,0,0,1
180,0,0,0,1,0,0,0,0,1,0,1,1,0,5
181,0,0,0,0,0,0,0,0,1,0,1,1,0,8
182,0,0,1,1,0,0,0,0,1,1,1,0,0,8
183,0,0,0,0,1,0,0,0,1,1,0,1,1,2
184,0,1,1,1,0,0,0,1,1,1,0,0,1,1
185,0,0,0,1,1,0,0,0,1,1,1,1,0,6
186,0,1,1,1,0,0,1,1,1,0,1,0,1,2
187,1,1,1,0,1,1,0,0,0,1,0,1,1,1
