,stab_1,stab_1,stab_1,stab_1,stab_2,stab_2,stab_2,stab_2,stab_3,stab_3,stab_3,stab_3,Data,Data,Data,Data,Data,num
110,1,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,0,6
111,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,5
112,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,1,2
113,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,3
114,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,4
115,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,1,0,1
116,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,6
117,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,53
118,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1
119,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,5
120,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,86
121,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,10
122,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1
123,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,3
124,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,6
125,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,7
126,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,4
127,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,17
128,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1
129,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,7
130,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,3
131,0,1,0,1,0,1,0,0,0,1,1,0,1,1,0,0,1,4
132,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,4
133,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,11
134,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,14
135,0,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1
136,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,6
137,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0,1
138,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,23
139,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,51
140,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,12
141,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,159
142,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1
143,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,4
144,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,5
145,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,9
146,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,3
147,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,19
148,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,5
149,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,7
150,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,2
151,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,8
152,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,5
153,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1
154,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1
155,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,8
156,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1
157,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5
158,1,1,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,1
159,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,9
160,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,1,25
161,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,2
162,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1
163,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,0,3
164,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,6
165,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,4
166,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,23
167,1,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,20
168,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,1,1
169,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,3
170,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1
171,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0,4
172,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,12
173,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,1,3
174,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1
175,0,1,1,0,0,1,0,0,0,1,1,0,1,1,0,1,1,6
176,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1
177,0,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,1
178,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,7
179,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,3
180,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,9
181,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,5
182,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,7
183,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,3
184,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,2
185,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,18
186,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,2
187,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,15
188,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1
189,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,15
190,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,5
191,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1
192,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1
193,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,25
194,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,11
195,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1
196,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,28
197,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,1,1,9
