,stab_1,stab_1,stab_1,stab_1,stab_2,stab_2,stab_2,stab_2,stab_3,stab_3,stab_3,stab_3,stab_4,stab_4,stab_4,stab_4,Data,Data,Data,Data,Data,num
116,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,33
117,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,3
118,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,85
119,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,279
120,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1
121,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1
122,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1,5
123,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,9
124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,336
125,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,1
126,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,5
127,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,47
128,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,13
129,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,9
130,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,4
131,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,1,240
132,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,16
133,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1
134,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,1,1,8
135,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,48
136,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,5
137,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,33
138,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,6
139,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,1,3
140,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,5
141,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,10
142,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,0,1,3
143,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
144,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,30
145,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
146,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1
147,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,16
148,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1
149,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,2
150,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1
151,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1
152,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,2
153,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,6
154,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,2
155,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,5
156,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,28
157,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,6
158,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,1
159,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,1,1,9
160,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,7
161,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1
162,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,8
163,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,5
164,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,2
165,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,5
166,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,70
167,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1
168,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,2
169,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,6
170,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,2
171,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,2
172,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,0,1,48
173,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0,4
174,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,2
175,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,21
176,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,2
177,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,7
178,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,1,6
179,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,1,1,0,1
180,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,2
181,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,30
182,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,7
183,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,21
184,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,1,1,1
185,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,6
186,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,1,1,1
187,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,35
