,stab_1,stab_1,stab_1,stab_1,Data,Data,Data,Data,Data,num
47,0,1,1,1,0,0,1,0,1,8
48,1,1,1,0,0,1,1,0,0,2
49,1,1,0,1,1,0,1,0,0,1
50,1,0,0,1,1,0,0,0,0,12
51,1,0,0,1,0,0,0,0,0,28
52,1,0,0,1,0,1,0,0,0,12
53,0,1,0,1,0,0,1,0,0,2
54,0,1,0,1,0,1,0,0,0,3
55,1,1,0,0,0,1,0,0,1,2
56,0,0,0,0,0,0,0,1,1,5
57,1,0,1,0,0,1,0,1,0,3
58,0,1,0,0,0,0,1,1,0,1
59,0,0,0,0,0,1,0,1,0,3
60,0,0,0,1,0,1,0,0,1,7
61,0,0,1,1,0,1,0,1,0,5
62,1,0,0,1,0,0,0,0,1,16
63,0,0,1,0,0,1,0,0,0,6
64,1,0,0,1,1,0,1,0,0,1
65,0,1,1,0,0,0,0,0,0,9
66,0,1,0,0,0,1,0,0,1,2
67,0,0,0,1,0,1,0,0,0,25
68,0,0,0,0,0,0,1,1,0,5
69,0,1,1,0,1,0,1,0,0,2
70,0,0,1,0,1,0,0,1,0,3
71,1,0,1,0,0,1,0,0,0,1
72,1,0,0,0,1,1,0,0,0,6
73,0,0,0,0,1,1,0,0,0,9
74,0,1,1,0,0,1,1,1,0,2
75,1,1,0,0,1,0,0,0,0,6
76,1,1,0,0,0,0,1,0,0,4
77,0,0,0,1,1,0,0,0,1,7
78,1,0,1,0,1,0,0,0,0,3
79,0,1,1,0,0,0,0,1,0,1
80,1,0,0,0,1,0,0,0,1,3
81,1,0,0,0,0,0,0,1,0,2
82,0,1,0,1,0,0,1,1,0,3
83,0,1,1,0,0,1,1,0,0,2
84,1,1,1,0,0,1,0,0,0,6
85,0,1,0,0,0,0,0,1,0,6
86,1,0,0,0,0,0,1,0,0,2
87,0,1,1,0,0,0,1,0,1,4
88,1,0,0,0,1,0,1,0,0,2
89,0,0,0,1,0,0,1,0,0,10
90,1,0,0,1,0,1,0,0,1,3
91,0,0,0,1,0,0,0,1,1,3
92,0,0,1,1,0,0,0,0,1,2
93,0,0,1,0,0,0,0,1,1,2
94,0,1,0,0,0,0,0,1,1,1
95,1,1,1,1,0,1,0,1,0,1
96,1,0,0,1,1,0,0,1,0,1
97,1,0,1,1,1,0,0,1,0,5
98,1,1,0,0,0,0,1,1,0,2
99,0,0,0,1,0,0,1,0,1,5
100,0,0,0,0,0,1,0,0,1,1
101,0,1,0,0,0,1,1,0,0,4
102,1,1,1,0,1,0,1,0,0,3
103,1,0,1,0,1,0,0,1,0,1
104,0,0,1,1,0,0,0,1,1,1
105,0,0,1,0,0,1,0,1,0,1
106,0,1,0,1,0,1,0,0,1,2
107,1,0,1,0,0,0,0,0,0,6
108,0,1,0,1,0,0,1,0,1,2
109,1,0,0,0,0,1,1,0,0,4
110,1,0,0,1,0,0,0,1,1,1
111,1,1,1,0,0,1,0,1,0,1
112,0,1,0,0,1,0,1,0,0,1
113,1,0,1,1,0,1,0,1,0,2
114,0,1,0,1,0,0,0,1,0,3
115,1,1,0,0,0,1,0,1,0,1
116,0,0,1,1,0,0,1,1,0,1
117,0,1,0,0,0,0,1,0,1,1
118,0,0,0,0,1,0,0,0,1,2
119,0,0,1,1,0,0,1,0,0,1
120,0,0,1,0,0,1,0,1,1,1
121,1,1,1,1,0,0,1,0,1,1
122,0,0,0,0,0,0,1,0,1,1
123,0,1,1,0,1,0,0,0,0,1
124,1,0,0,0,1,0,0,1,0,1
125,1,1,0,1,0,1,0,1,0,1
126,1,0,0,1,0,0,0,1,0,1
127,1,0,1,1,0,1,1,0,0,1
128,1,1,1,1,0,1,0,0,0,1
