,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,Data,Data,Data,Data,Data,Data,Data,Data,Data,num
327,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,0,2
328,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,2
329,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,7
330,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,30
331,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1
332,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1
333,0,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1
334,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,9
335,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,3
336,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,7
337,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,2
338,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,11
339,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,0,1,2
340,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1
341,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,7
342,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1
343,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1
344,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,11
345,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,11
346,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,1,3
347,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,6
348,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,8
349,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,9
350,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,14
351,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,7
352,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,2
353,0,1,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,2
354,1,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1
355,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,3
356,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,7
357,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,15
358,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,5
359,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,3
360,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,3
