,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,stab_4,stab_4,Data,Data,Data,num
179,0,0,0,1,1,1,1,1,1,1,1,1
180,1,0,0,0,0,0,0,1,0,1,1,3
181,0,0,0,0,0,0,0,1,1,0,1,2
182,0,0,0,0,0,0,0,0,0,1,0,7
183,1,0,1,0,1,0,0,1,0,1,1,4
184,0,1,0,1,1,1,0,0,1,0,0,2
185,1,1,1,1,1,0,0,0,0,1,0,5
186,1,1,0,0,0,0,0,0,1,1,0,4
187,0,1,0,1,1,0,0,0,1,0,0,1
188,1,1,1,0,1,0,0,0,1,0,0,3
189,1,1,1,1,1,1,1,0,0,1,1,4
190,1,0,1,0,1,0,0,1,1,0,0,3
191,1,0,1,0,0,0,0,0,1,0,0,2
192,1,1,1,0,0,1,0,0,0,1,1,2
193,1,1,1,0,1,0,0,0,0,1,0,6
194,1,1,0,1,0,0,0,0,0,1,1,3
195,0,0,0,1,0,1,0,0,1,0,1,2
196,0,1,0,0,0,1,0,1,0,0,1,1
197,0,1,0,0,1,0,0,0,0,0,1,2
198,1,0,0,1,0,0,0,0,0,1,0,3
199,1,0,1,1,0,1,0,0,1,0,0,2
200,1,0,0,0,0,0,1,0,0,1,1,4
201,0,0,0,1,0,0,0,0,0,1,0,1
202,0,1,1,1,0,1,1,1,0,0,1,1
203,0,1,1,1,1,1,1,0,0,1,1,1
204,1,1,0,1,0,0,0,1,1,1,1,2
205,1,1,1,1,1,0,1,1,0,1,0,1
206,0,1,0,1,1,1,0,0,1,1,1,3
207,1,0,1,1,0,1,0,0,1,0,1,1
208,1,1,0,1,0,1,0,1,0,1,1,3
209,0,1,1,1,1,0,0,0,0,0,1,1
210,1,0,1,0,0,1,0,0,1,0,0,5
211,1,1,1,1,1,1,0,1,0,1,1,2
212,1,1,1,1,0,0,0,1,1,0,1,1
213,1,1,0,1,1,1,0,0,1,1,1,1
214,0,1,0,1,0,1,0,1,0,0,0,3
215,1,0,1,0,1,0,1,1,0,1,1,5
216,1,1,1,1,1,1,0,1,1,0,0,8
217,1,1,1,0,1,0,1,0,0,0,1,3
218,1,0,1,0,0,0,1,0,0,1,1,10
219,0,0,1,0,1,0,0,1,1,1,1,1
220,0,1,1,0,0,0,0,0,1,1,1,7
221,0,0,1,1,0,1,0,0,1,1,0,2
222,1,1,1,0,0,0,0,0,1,1,1,1
223,0,1,1,1,1,0,0,0,0,1,1,1
224,0,1,1,0,0,1,0,0,1,1,0,1
225,1,0,1,1,1,0,1,1,1,0,1,1
226,1,1,1,1,0,1,0,0,0,1,0,1
227,1,1,1,0,1,1,1,1,0,1,1,2
228,1,1,0,1,1,1,0,1,1,0,0,14
229,0,0,0,1,1,1,1,0,0,0,0,1
230,0,1,1,1,1,1,1,0,1,0,1,2
231,1,0,1,0,1,1,0,0,0,1,0,2
232,1,0,1,1,1,1,1,0,0,1,0,2
233,0,0,0,0,0,0,1,0,1,1,0,3
234,1,1,1,1,1,1,1,1,1,1,1,5
235,1,1,1,1,0,0,0,0,1,1,1,3
236,1,1,0,1,0,0,0,0,0,1,0,3
237,1,0,0,1,0,1,0,0,0,1,1,4
238,1,0,1,1,1,1,0,0,1,0,0,1
239,1,1,0,0,1,0,0,0,0,0,0,1
240,0,0,0,1,0,0,1,0,1,1,1,2
241,1,1,1,1,1,1,1,0,1,1,0,1
242,0,1,0,0,0,1,1,0,1,1,0,1
243,0,1,1,1,1,1,1,1,0,1,1,1
244,1,1,1,1,1,1,1,0,0,0,0,1
245,0,1,1,0,0,1,0,0,1,1,1,2
246,0,1,0,0,1,1,0,1,1,1,1,2
247,0,1,0,1,1,0,0,0,0,0,1,2
248,1,1,0,1,0,1,1,0,0,1,1,1
249,1,0,1,1,0,1,0,0,0,1,0,2
250,0,1,0,1,1,1,1,1,0,0,0,1
251,1,0,1,0,0,1,0,0,1,0,1,1
252,0,1,0,0,0,1,0,0,0,1,0,1
253,1,0,1,0,1,0,1,0,1,1,0,1
254,0,0,0,0,0,0,1,1,1,1,1,9
255,1,0,0,1,0,0,0,0,1,0,1,5
256,1,1,0,1,1,1,0,1,1,1,1,7
257,0,1,1,1,1,1,0,1,0,0,0,2
258,0,1,0,0,1,0,0,0,1,1,1,5
259,0,0,0,0,1,1,1,0,1,1,1,1
260,1,0,1,0,0,0,0,1,0,0,1,1
261,0,1,0,1,1,1,0,0,0,0,1,2
262,0,1,1,1,0,1,0,1,1,0,1,6
263,1,0,1,0,1,1,0,0,1,0,1,2
264,1,0,1,1,1,0,1,0,0,1,0,1
265,0,0,1,0,1,0,0,0,0,1,1,11
266,1,1,1,1,1,1,0,0,0,1,0,5
267,1,1,1,1,0,1,0,1,0,1,1,1
268,1,0,1,0,1,1,1,1,1,0,0,3
269,0,1,0,1,0,0,0,0,1,0,1,3
270,0,1,0,0,0,1,0,0,1,0,0,4
271,1,0,0,0,0,1,0,1,0,1,1,3
272,1,1,0,1,0,1,0,1,0,1,0,2
273,1,1,1,1,1,1,1,0,1,1,1,2
274,0,1,0,1,0,1,0,1,1,0,1,4
275,0,1,0,1,0,0,0,0,0,0,1,8
276,1,0,0,1,1,0,0,0,1,0,1,1
277,1,1,0,1,0,1,0,1,1,0,0,8
278,1,0,1,0,1,0,0,0,0,0,1,6
279,0,1,0,1,0,1,0,0,0,1,0,7
280,0,1,1,1,0,1,0,1,0,0,0,1
281,1,1,1,0,1,0,0,0,1,1,1,2
282,0,0,0,0,1,1,1,1,1,1,1,5
283,1,0,1,1,1,1,0,1,0,1,1,1
284,0,0,1,0,1,0,1,1,1,1,1,1
285,0,0,1,1,0,0,0,1,0,0,1,1
286,1,1,1,1,0,0,0,0,0,1,0,6
287,0,1,1,1,0,1,0,0,1,1,0,2
288,1,1,1,1,1,0,0,1,1,0,1,4
289,0,1,0,1,1,0,0,0,1,1,0,3
290,0,1,0,0,0,0,0,1,1,1,0,9
291,1,1,0,1,0,1,0,0,1,0,0,5
292,0,1,0,0,0,0,0,0,0,0,0,1
293,1,1,1,0,1,1,1,1,1,0,1,7
294,1,1,0,0,0,1,0,0,1,0,1,5
295,1,1,1,1,1,1,1,0,0,0,1,4
296,0,0,1,0,0,0,0,1,1,1,1,2
297,0,1,1,1,0,0,0,0,1,0,1,3
298,1,0,0,1,1,0,0,0,0,1,0,1
299,0,1,1,1,1,1,0,1,0,0,1,1
300,1,0,0,1,1,0,0,0,1,1,0,1
301,0,1,1,1,1,1,0,1,0,1,1,2
302,1,0,0,1,0,0,0,1,1,1,1,1
303,0,1,1,0,1,0,0,0,0,0,1,2
304,0,1,0,0,1,0,0,0,1,1,0,2
305,0,1,1,1,1,1,0,0,1,0,1,2
306,1,1,1,0,1,0,0,0,0,1,1,10
307,0,0,0,0,0,0,0,0,0,0,0,1
308,0,1,0,0,0,0,1,0,1,1,1,5
309,1,1,1,1,1,1,1,1,1,1,0,2
310,0,1,0,1,0,1,1,1,1,1,1,2
311,1,1,1,1,0,1,0,1,1,0,0,5
312,1,0,1,1,0,0,0,0,1,0,1,3
313,0,1,1,1,1,0,1,0,0,1,1,1
314,0,0,0,0,0,0,0,1,0,1,1,3
315,1,0,1,0,1,0,0,0,1,0,1,1
316,1,0,0,0,0,0,0,1,1,0,1,2
317,0,1,0,1,0,0,0,0,0,1,0,6
318,0,0,1,0,0,0,0,0,0,1,0,1
319,1,1,0,0,0,0,0,1,1,0,1,3
320,1,0,1,0,0,1,0,1,1,0,0,3
321,1,0,1,0,1,0,1,1,1,1,1,2
322,1,0,0,1,0,1,0,1,1,0,0,2
323,0,1,0,1,0,1,1,0,1,1,0,2
324,1,0,0,1,0,0,0,0,1,1,0,1
325,0,1,1,1,0,1,1,1,1,1,0,3
326,0,0,0,1,0,0,0,0,1,0,1,3
327,1,0,1,0,1,0,1,0,1,0,0,2
328,1,0,0,1,0,0,0,0,1,0,0,6
329,0,1,0,1,0,0,1,0,1,1,1,1
330,1,1,0,0,0,0,0,1,0,1,1,1
331,1,0,0,1,0,1,0,0,1,1,1,2
332,0,1,1,0,0,1,0,1,1,1,1,1
333,1,1,1,1,0,0,0,0,0,1,1,1
