,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,Data,Data,Data,Data,Data,Data,Data,Data,Data,num
111,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,3
112,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21
113,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,4
114,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,3
115,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,4
116,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,23
117,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,9
118,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
119,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,3
120,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,16
121,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5
122,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,3
123,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
124,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
125,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,3
126,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,21
127,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7
128,1,0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1
129,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
130,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,18
131,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10
132,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1
133,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
134,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,29
135,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,4
136,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2
137,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,52
138,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2
139,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,6
140,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
141,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2
142,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,26
143,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,13
144,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
145,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,3
146,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
147,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,4
148,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,4
149,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
150,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12
151,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
152,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6
153,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,15
154,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
155,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,8
156,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,2
157,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,6
158,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,45
159,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,21
160,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,8
161,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,17
162,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7
163,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4
164,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
165,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
166,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3
167,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,6
168,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
169,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,2
170,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1
171,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
172,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
173,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,26
174,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6
175,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,5
176,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1
177,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1
178,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7
179,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,6
180,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,9
181,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
182,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1
183,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,11
184,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3
185,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,5
186,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1
187,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
188,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,2
189,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,16
190,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
191,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3
192,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21
193,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,6
194,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
195,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,22
196,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
197,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5
198,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5
199,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3
200,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13
201,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,10
202,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
203,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,5
204,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14
205,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,20
206,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,14
207,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,11
208,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,39
209,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,8
210,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,8
211,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4
212,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
213,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1
214,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1
215,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2
216,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,30
217,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,16
218,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2
219,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,6
220,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,2
221,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,2
222,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,10
223,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1
224,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11
225,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5
226,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4
227,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
