,stab_1,stab_1,stab_1,stab_1,stab_2,stab_2,stab_2,stab_2,stab_3,stab_3,stab_3,stab_3,Data,Data,Data,Data,Data,num
223,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1
224,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,5
225,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4
226,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1
227,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,10
228,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1
229,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
230,1,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,3
231,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,15
232,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1
233,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,11
234,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,2
235,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1
236,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,4
237,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,5
238,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,14
239,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1
240,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5
241,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,8
242,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4
243,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1
244,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
245,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,27
246,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1
247,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
248,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
249,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1
250,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
251,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,18
252,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,9
253,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1
254,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,24
255,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,5
256,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,5
257,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,6
258,1,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,3
259,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,6
260,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,11
261,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,3
262,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6
263,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,8
264,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,3
265,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3
266,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1
267,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1
268,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6
269,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,3
270,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,3
271,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,14
272,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,17
273,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,7
274,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
275,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,13
276,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,2
