,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,Data,Data,Data,num
231,0,0,0,1,1,0,0,1,0,1,0,1,1,2
232,0,0,0,0,0,0,0,0,1,0,1,1,0,16
233,0,0,0,1,0,1,1,0,0,0,1,1,1,3
234,0,0,1,1,0,0,1,1,0,0,0,0,1,1
235,0,1,0,0,0,0,0,0,0,1,1,1,1,52
236,1,1,1,0,0,0,1,0,0,0,1,1,1,1
237,0,0,1,0,1,0,0,1,1,0,0,1,1,13
238,0,1,1,0,0,0,0,1,0,1,1,1,1,4
239,1,1,1,0,0,0,0,1,0,0,1,0,0,2
240,0,0,1,0,0,0,0,1,0,0,1,0,0,35
241,0,0,0,0,0,1,1,1,1,0,1,1,1,20
242,0,0,1,0,0,0,0,1,1,1,1,0,1,47
243,0,0,0,1,0,0,1,1,1,0,1,1,1,11
244,1,0,1,0,0,1,0,0,0,0,0,1,1,5
245,0,1,1,0,1,0,0,0,0,0,1,1,1,33
246,1,1,1,0,0,0,0,1,0,0,1,0,1,22
247,1,1,0,0,0,0,0,1,0,0,0,1,1,2
248,0,0,0,0,0,0,1,0,0,1,1,1,1,53
249,0,0,1,0,0,0,0,1,0,0,1,1,0,30
250,0,0,0,1,0,0,0,0,0,1,0,1,1,3
251,0,0,1,1,0,0,0,1,1,0,1,0,1,7
252,0,1,1,0,0,0,1,1,1,0,1,1,1,8
253,0,0,0,1,1,0,0,0,0,1,1,1,1,29
254,0,0,1,0,0,0,0,0,0,0,1,0,0,44
255,0,1,0,0,0,0,0,0,1,0,1,1,0,1
256,1,0,0,0,0,0,0,1,1,0,1,1,0,4
257,1,1,1,0,1,0,0,1,1,1,1,0,1,1
258,0,1,1,0,0,0,0,0,0,1,1,1,1,15
259,0,1,1,0,0,0,0,0,1,0,0,0,1,3
260,0,1,0,0,1,0,0,0,0,0,0,1,1,6
261,1,0,1,0,1,1,0,0,1,0,1,1,1,1
262,0,0,0,0,1,0,0,0,1,0,0,1,1,6
263,0,0,0,0,0,0,0,1,1,1,1,1,0,65
264,0,0,1,1,0,0,1,1,0,0,1,0,1,5
265,1,0,0,0,0,0,1,1,0,0,1,1,1,12
266,1,1,0,0,0,0,0,0,1,1,1,1,1,4
