,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,stab_4,stab_4,stab_5,stab_5,Data,Data,Data,num
332,0,1,1,1,1,1,0,1,0,1,0,0,0,10
333,1,0,0,0,0,0,1,0,0,0,0,0,0,7
334,1,0,1,0,0,0,0,0,0,0,0,0,0,16
335,0,0,0,1,0,1,1,1,0,0,0,0,0,1
336,0,1,0,1,0,1,0,1,1,0,1,1,0,8
337,0,1,1,1,0,1,1,1,0,0,0,1,1,4
338,0,0,0,0,0,0,1,1,0,0,0,0,0,5
339,0,1,0,1,0,1,1,1,0,0,1,1,0,5
340,0,1,0,1,1,0,0,0,0,0,1,1,0,6
341,1,1,1,0,1,1,1,1,0,0,0,1,0,5
342,0,1,0,1,1,1,0,0,0,0,1,1,0,1
343,0,0,0,0,1,0,1,0,1,0,1,0,0,2
344,0,1,0,1,1,1,1,1,0,0,1,1,0,9
345,0,1,0,1,1,1,1,1,1,0,1,1,0,2
346,0,0,0,0,1,1,1,0,0,1,0,0,0,1
347,1,0,1,1,1,0,1,0,0,0,0,1,0,1
348,0,1,1,1,1,1,1,1,1,1,1,1,0,2
349,1,0,1,0,1,0,1,0,0,0,1,1,0,5
350,1,1,0,1,1,1,0,1,0,1,1,1,0,2
351,0,1,0,0,0,1,0,0,0,0,0,1,0,4
352,1,1,0,0,0,0,1,0,1,0,0,1,0,2
353,1,1,1,1,1,1,1,1,0,0,0,1,1,4
354,1,0,0,0,1,0,1,1,1,1,1,1,1,1
355,0,0,0,0,1,1,0,0,0,0,0,0,0,4
356,0,1,1,1,1,0,1,1,0,0,0,0,0,1
357,1,0,1,0,0,0,0,1,0,0,1,0,1,1
358,1,0,1,0,1,1,1,0,0,0,1,0,0,6
359,1,0,1,0,1,1,1,0,1,0,0,0,0,2
360,1,1,0,1,0,1,1,1,0,1,0,0,0,7
361,0,1,1,0,0,0,0,1,0,0,1,0,0,1
362,1,1,1,1,0,0,0,0,0,0,0,0,0,7
363,0,0,1,1,0,0,0,0,0,0,0,0,0,7
364,0,1,1,1,0,0,0,0,0,0,1,1,0,4
365,1,1,0,1,0,1,0,1,0,0,0,0,1,6
366,1,1,0,0,0,1,0,0,0,1,0,1,0,1
367,0,0,0,1,0,0,0,1,0,0,1,0,0,2
368,1,1,1,1,0,0,0,0,0,0,1,0,1,2
369,0,1,0,1,1,1,0,1,0,1,0,0,1,7
370,1,0,0,1,1,0,0,0,0,0,1,0,0,1
371,1,1,1,1,0,1,0,1,1,1,0,0,1,1
372,1,1,1,1,0,0,0,0,0,0,0,1,1,6
373,0,1,1,0,0,0,0,0,0,0,0,0,0,1
374,0,0,0,0,0,1,0,1,1,0,0,0,0,2
375,0,0,0,0,0,0,0,0,0,1,1,0,0,7
376,0,1,1,1,1,1,1,1,0,0,0,1,0,4
377,0,1,0,1,1,1,0,0,0,0,0,0,1,2
378,1,0,1,0,0,1,0,1,0,0,0,1,1,4
379,1,1,1,1,0,1,1,1,0,0,0,1,1,1
380,1,0,0,1,0,0,0,1,0,0,0,1,0,1
381,1,1,0,1,1,1,1,1,0,0,0,1,0,3
382,0,0,0,0,1,0,0,0,0,1,0,0,0,3
