,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_2,stab_2,stab_2,stab_2,stab_2,stab_2,Data,Data,Data,Data,Data,Data,Data,num
166,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5
167,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
168,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5
169,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,3
170,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,4
171,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,11
172,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,30
173,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4
174,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1
175,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
176,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3
177,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,15
178,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1
179,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
180,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,5
181,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
182,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1
183,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3
184,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,8
185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2
186,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,60
187,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1
188,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,11
189,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,17
190,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,7
191,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,4
192,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2
193,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,16
194,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2
