,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_2,stab_2,stab_2,stab_2,stab_2,stab_2,Data,Data,Data,num
159,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,50
160,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,29
161,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
162,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,2
163,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1
164,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,4
165,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,5
166,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,2
167,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1
168,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,9
169,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,3
170,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,12
171,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6
172,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1
173,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,18
174,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,16
175,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,14
176,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,17
177,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1
178,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,9
179,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,8
180,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,7
181,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,4
182,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,6
183,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6
184,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,13
185,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2
186,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1
187,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,26
188,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,5
189,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,2
190,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,2
191,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,6
192,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,15
193,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1
194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,12
195,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1
196,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2
197,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,2
198,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,13
199,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4
200,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1
201,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,1
202,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,10
203,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,22
204,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,6
205,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,14
206,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,12
207,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,10
208,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,14
209,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1
210,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
211,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,28
212,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1
213,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,5
214,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,7
215,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
216,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,17
217,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,20
218,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,4
