,stab_1,stab_1,stab_1,stab_1,stab_2,stab_2,stab_2,stab_2,Data,Data,Data,Data,Data,num
145,1,0,1,1,0,0,0,0,1,0,1,0,1,2
146,0,1,0,0,1,0,0,0,1,1,1,1,1,37
147,1,0,1,1,1,0,1,1,0,1,1,0,0,1
148,0,1,1,0,0,1,1,0,1,1,1,1,1,8
149,1,1,1,0,1,0,0,0,1,1,0,1,1,6
150,0,1,1,1,0,0,0,0,0,1,1,0,1,3
151,0,0,0,1,0,0,0,0,1,0,1,1,1,6
152,1,1,0,0,1,0,0,0,0,1,1,1,1,3
153,0,0,1,0,0,0,1,1,1,1,1,0,0,4
154,1,0,0,0,1,0,0,1,1,1,1,1,0,1
155,1,1,0,0,1,1,0,1,1,0,1,1,1,10
156,1,1,1,1,0,1,0,0,1,1,1,0,1,1
157,0,0,0,0,0,1,1,0,1,1,1,1,1,12
158,0,0,0,1,1,0,0,0,1,1,1,1,1,7
159,0,1,1,1,1,1,0,1,1,1,1,0,1,1
160,0,1,0,0,0,0,0,0,1,1,0,0,1,2
161,1,0,0,1,0,0,0,1,0,1,1,1,1,8
162,0,1,0,0,0,0,1,0,1,1,1,1,1,5
163,0,0,1,1,0,0,1,1,0,1,1,0,1,9
164,0,0,0,0,0,0,0,1,1,0,1,1,1,9
165,1,0,0,1,0,0,0,1,1,1,1,1,0,6
166,0,0,0,1,1,0,0,0,0,1,1,0,1,1
167,0,1,1,0,0,1,1,0,0,1,0,1,1,10
168,1,1,0,1,0,0,0,1,1,0,1,1,0,6
169,0,0,0,0,0,0,0,0,1,1,0,0,1,7
170,0,1,0,0,0,0,0,0,1,1,1,1,0,7
171,0,0,0,1,0,0,0,1,0,1,1,1,1,14
172,1,1,1,1,0,0,0,1,0,1,0,1,1,1
173,1,0,0,0,0,0,0,1,1,0,1,1,1,3
174,1,1,0,0,0,1,0,0,1,0,1,1,1,45
175,1,0,1,0,1,0,0,0,1,1,1,1,1,1
176,0,0,0,0,0,0,1,1,1,1,1,1,1,7
177,1,0,0,0,0,0,0,0,1,1,0,1,1,8
178,0,1,0,0,0,1,0,0,1,1,0,1,1,5
179,1,0,1,0,1,0,0,0,1,0,0,1,1,4
180,0,0,1,0,0,0,1,0,1,1,1,0,0,4
181,0,0,0,0,0,1,0,1,1,1,1,1,1,13
182,0,1,0,0,1,0,0,0,0,1,1,1,1,5
183,1,0,0,0,0,0,0,0,1,0,0,1,1,4
184,0,0,1,0,0,0,0,0,1,0,1,1,1,2
185,0,0,0,0,0,1,0,0,1,0,1,1,1,10
186,1,1,1,0,1,1,0,0,1,0,1,0,1,1
187,0,0,0,1,1,1,0,0,1,1,1,1,0,1
188,0,0,1,0,0,0,1,1,1,1,1,0,1,10
189,0,1,0,1,0,0,0,0,1,1,0,0,1,3
190,1,0,1,0,1,0,1,0,1,0,0,1,1,6
191,1,1,0,1,1,0,0,0,1,0,1,1,0,3
192,1,0,0,0,0,0,0,1,1,1,1,1,1,5
193,1,0,0,0,1,0,0,1,0,1,1,1,1,7
194,0,0,0,0,1,0,0,0,0,1,1,0,1,2
195,0,0,0,0,0,0,1,0,1,1,1,0,1,5
196,0,0,1,0,0,1,1,0,1,1,0,1,1,16
197,0,0,1,1,0,0,1,0,0,1,1,0,1,5
198,1,0,1,0,1,0,0,0,0,1,1,0,1,1
199,0,0,1,1,0,0,0,1,0,1,1,0,1,3
200,0,0,0,0,1,0,0,0,1,1,1,1,0,6
201,0,0,0,1,0,0,0,1,1,0,1,1,1,12
202,0,0,0,0,1,0,0,1,1,1,1,1,1,8
203,1,0,1,1,1,0,0,0,1,1,1,0,1,1
204,0,0,0,1,1,0,1,1,1,1,1,1,1,2
205,1,0,0,0,1,0,0,0,1,1,0,1,1,2
