,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,stab_4,stab_4,stab_5,stab_5,stab_6,stab_6,stab_7,stab_7,Data,Data,Data,num
115,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,2
116,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,13
117,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1
118,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,7
119,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,2
120,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,2
121,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1
122,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,4
123,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,11
124,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5
125,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,26
126,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,4
127,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,1,1,4
128,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,10
129,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1
130,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,12
131,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,13
132,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1
133,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,2
134,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,16
135,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,5
136,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1
137,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1
138,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,5
139,0,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0,0,2
140,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1
