,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,Data,Data,Data,Data,Data,Data,Data,num
195,0,0,1,0,1,0,1,1,1,0,1,0,1,1
196,0,1,0,1,1,0,1,1,0,1,0,1,1,1
197,0,0,0,1,1,1,0,1,1,1,0,1,1,1
198,0,0,1,0,0,1,1,1,1,1,1,1,0,10
199,0,0,0,1,1,0,1,1,1,1,0,1,0,14
200,1,1,0,0,0,1,1,0,1,1,1,0,0,1
201,0,0,1,1,0,0,1,1,1,1,0,1,1,7
202,0,0,1,0,0,1,1,1,0,0,1,1,1,2
203,0,1,1,0,0,0,1,0,0,1,1,1,1,6
204,0,0,1,0,1,1,1,1,0,1,1,0,1,2
205,1,1,0,0,0,0,1,0,1,1,1,1,0,26
206,0,0,0,1,0,1,1,1,1,1,0,1,0,2
207,0,1,0,0,1,0,1,1,1,1,1,0,1,1
208,0,0,0,0,0,0,0,0,1,1,1,1,0,2
209,0,0,0,0,1,0,1,1,1,0,1,1,1,2
210,1,1,0,0,1,1,1,0,1,1,1,0,1,2
211,0,1,0,0,0,1,1,1,1,1,1,1,0,8
212,1,0,0,0,1,1,1,1,1,1,1,0,1,12
213,0,0,1,1,0,0,0,1,1,1,1,1,1,3
214,0,0,0,0,0,0,1,0,1,0,0,1,1,1
215,0,1,0,0,0,0,1,1,0,1,1,1,0,3
216,1,0,1,0,0,0,0,0,1,1,1,1,1,2
217,0,0,1,1,0,0,0,1,1,0,1,0,1,1
218,0,0,0,1,0,0,1,1,1,1,1,0,0,1
219,0,0,0,1,1,0,0,1,0,1,0,1,1,1
220,1,1,0,0,0,0,1,1,1,1,1,0,1,3
221,0,0,1,1,1,0,1,1,0,0,0,1,1,1
222,1,0,1,0,0,0,1,1,0,1,1,1,1,2
223,0,0,0,1,1,0,1,1,1,0,1,0,1,1
224,1,0,0,1,0,0,1,1,1,0,1,1,1,2
225,0,0,1,0,0,0,1,1,0,1,1,1,0,3
226,1,0,0,1,0,0,1,1,1,1,1,1,0,1
227,0,0,0,1,1,0,1,1,1,0,1,1,0,1
228,0,1,0,0,0,0,1,1,1,1,1,0,1,5
229,0,0,1,0,0,1,1,1,1,1,1,0,0,1
230,1,0,0,0,0,0,1,0,1,1,1,0,1,2
231,0,1,1,1,0,0,1,1,0,0,1,1,1,4
232,0,0,0,0,1,0,1,1,0,1,1,1,1,8
233,0,0,0,0,1,0,1,1,1,1,1,0,0,3
234,1,0,0,0,0,0,1,0,1,1,1,1,0,9
235,0,1,0,0,1,1,1,1,1,1,1,0,1,3
236,0,0,0,1,0,1,1,1,1,0,1,1,1,3
237,1,0,0,1,1,0,1,1,1,1,0,1,1,21
238,1,0,0,1,0,0,1,0,1,0,0,1,1,1
239,1,1,0,0,1,0,1,0,1,1,1,1,1,7
240,0,0,1,1,0,0,1,1,1,0,1,0,1,4
241,1,1,0,0,0,0,0,1,0,1,1,1,1,2
242,1,0,0,0,0,0,1,0,1,0,1,1,1,3
243,0,0,0,0,0,1,0,0,1,1,1,1,1,2
244,0,0,1,0,0,0,1,1,1,0,0,1,1,1
245,0,0,0,0,0,0,1,1,0,0,1,1,1,14
246,0,0,0,1,0,0,1,1,0,1,0,1,1,2
247,1,0,0,1,0,0,1,0,0,0,1,1,1,2
248,1,1,0,0,0,0,1,0,1,0,0,1,1,1
249,0,1,0,0,0,1,0,1,1,1,1,0,0,1
250,0,1,0,0,0,0,1,0,1,1,1,0,1,1
251,0,0,0,0,1,1,0,1,1,1,1,0,1,3
