,stab_1,stab_1,stab_1,stab_1,stab_2,stab_2,stab_2,stab_2,stab_3,stab_3,stab_3,stab_3,stab_4,stab_4,stab_4,stab_4,Data,Data,Data,Data,Data,num
140,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1
141,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,0,3
142,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,102
143,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1
144,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4
145,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1
146,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,189
147,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,21
148,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1
149,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,84
150,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,4
151,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1
152,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1
153,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,14
154,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1
155,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,4
156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,195
157,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,17
158,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,0,1,0,1
159,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,5
160,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,124
161,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1
162,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,13
163,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
164,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,72
165,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1
166,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0,14
167,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,3
168,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,6
169,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
170,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3
171,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,11
172,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,3
173,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
174,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,2
175,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,5
176,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,3
177,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,24
178,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,2
179,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1
180,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,1
181,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,3
182,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,31
183,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1
184,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
185,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,1,0,1,5
186,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1
187,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,3
188,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1
189,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,9
190,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1
191,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,8
192,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,23
193,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,7
194,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,3
195,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,1
196,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,4
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,4
198,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,5
199,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1
200,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1
201,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,11
202,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,19
203,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1
204,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1
205,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,9
206,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,2
207,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1
208,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,13
209,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,4
210,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,3
211,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,5
212,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,7
213,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1
214,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,3
215,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,53
216,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
217,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1
218,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,1
219,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,4
220,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1
