,stab_1,stab_1,stab_1,stab_1,stab_2,stab_2,stab_2,stab_2,stab_3,stab_3,stab_3,stab_3,stab_4,stab_4,stab_4,stab_4,Data,Data,Data,Data,Data,num
102,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,2
103,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,6
104,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1
105,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
106,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,3
107,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
108,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1
109,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,282
111,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,44
112,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,2
113,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
114,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,5
115,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5
116,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1
117,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,10
118,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
119,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1
120,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1
121,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,11
122,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1
123,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,61
124,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,384
125,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,2
126,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
127,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,4
128,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
129,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,9
131,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1
132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,174
133,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3
134,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3
135,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
136,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,59
137,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1
138,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,40
139,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
140,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,11
141,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6
142,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6
143,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
144,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1
145,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,87
146,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4
147,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,3
148,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,34
149,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,9
150,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11
151,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,10
152,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2
153,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,2
