,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,stab_4,stab_4,stab_5,stab_5,stab_6,stab_6,stab_7,stab_7,stab_8,stab_8,Data,Data,Data,num
120,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9
121,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,13
122,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,10
123,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,7
124,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7
125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,304
126,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1
127,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
128,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,73
129,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,63
130,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
131,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,7
132,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,3
133,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,2
134,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,3
135,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
136,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1
137,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4
138,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1
139,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1
140,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,12
141,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,19
142,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,9
143,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,14
144,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,26
145,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,12
