,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_2,stab_2,stab_2,stab_2,stab_2,stab_2,Data,Data,Data,num
164,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,14
165,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,12
166,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,2
167,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,7
168,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,52
169,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,12
170,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,4
171,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,11
172,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,17
173,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,18
174,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,36
175,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,6
176,0,1,0,1,1,1,0,0,0,1,0,0,1,1,1,5
177,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,5
178,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,9
179,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,145
180,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,4
181,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,8
182,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,4
183,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,11
184,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,5
185,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,2
186,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,25
187,1,1,0,0,0,0,1,0,1,0,0,0,1,1,1,8
188,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,24
189,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1
190,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,2
191,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,3
192,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,11
193,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,3
194,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
195,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,4
196,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,3
197,1,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1
198,0,1,0,1,0,0,0,1,1,1,0,0,1,1,1,3
199,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,9
200,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1
201,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,16
202,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,3
203,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,20
204,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,10
205,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,5
206,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,3
207,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,17
208,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,21
209,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,16
210,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,3
211,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,5
212,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1
213,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
214,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,5
215,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,9
216,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,7
217,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,6
218,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,8
219,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,3
220,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,3
221,1,1,0,0,1,0,1,1,1,0,1,0,1,0,1,1
222,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8
223,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,1
224,0,1,0,1,0,0,1,0,1,1,0,0,1,1,1,1
225,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,24
226,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1
