,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,stab_4,stab_4,stab_5,stab_5,stab_6,stab_6,stab_7,stab_7,stab_8,stab_8,Data,Data,Data,num
293,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1
294,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,5
295,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,2
296,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,5
297,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
298,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,8
299,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1,4
300,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3
301,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1
302,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,11
303,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,3
304,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,3
305,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,0,1
306,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1
307,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,2
308,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2
309,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4
310,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,1,1
311,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,6
312,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,8
313,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,4
314,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,11
315,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,2
316,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,1,1,5
317,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,1,1,10
318,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,8
319,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,3
320,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,7
321,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,1,0,1
322,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,4
323,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3
