,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_2,stab_2,stab_2,stab_2,stab_2,stab_2,Data,Data,Data,num
142,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,50
143,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,10
144,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,10
145,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,7
146,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,2
147,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,2
148,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,12
149,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,5
150,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,8
151,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,13
152,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,21
153,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,2
154,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,2
155,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,4
156,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,17
157,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1
158,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1
159,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,7
160,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2
161,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,2
162,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,11
163,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1
164,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,48
165,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,2
166,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,35
167,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,31
168,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,32
169,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,6
170,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1
171,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,16
172,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,8
173,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,9
174,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,5
175,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,3
176,1,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1
177,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,4
178,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
179,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,14
180,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,20
181,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1
182,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,7
183,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,3
184,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,8
185,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,16
186,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,9
187,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1
188,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1
189,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,16
190,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,6
191,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,1
192,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,22
193,0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,21
194,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,2
195,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,11
196,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1
197,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,3
198,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,2
199,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,13
200,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,3
201,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,11
202,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,2
203,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,2
204,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,5
205,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1
206,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,11
207,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,23
208,0,0,0,1,1,0,0,0,1,0,1,0,1,1,1,3
209,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1
210,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,2
211,0,1,0,1,0,0,0,0,0,1,1,0,1,1,1,1
212,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,4
213,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,15
214,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,31
215,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,18
216,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,6
217,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,7
218,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
219,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1
220,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,20
221,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,21
222,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,5
223,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,3
224,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,8
225,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,20
