,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,stab_4,stab_4,stab_5,stab_5,stab_6,stab_6,stab_7,stab_7,Data,Data,Data,num
104,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
105,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5
106,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,7
107,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,13
108,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,32
109,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,4
110,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
111,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,3
112,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1
113,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,2
114,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,50
115,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,34
116,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,21
117,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16
118,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,11
119,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1
120,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,47
121,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,19
122,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
123,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1
124,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2
125,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,4
126,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,4
127,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,16
128,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,3
129,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,4
130,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1
131,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
132,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7
133,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,25
134,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,44
135,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,4
136,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,23
137,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,3
138,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,14
139,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,8
140,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1
141,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2
142,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4
143,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,18
144,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,17
145,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
146,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,3
